kosul_id,dagilim,varyans_orani,n1,n2,etki_buyuklugu,student_t,welch_t,mann_whitney,permutasyon,bootstrap_t
129,t_dagilimi,4,10,50,0.0,0.005666666666666667,0.050666666666666665,0.016,0.042666666666666665,0.04933333333333333
130,t_dagilimi,4,10,50,0.2,0.018333333333333333,0.14333333333333334,0.05433333333333333,0.131,0.139
131,t_dagilimi,4,10,50,0.5,0.22766666666666666,0.615,0.4483333333333333,0.5946666666666667,0.599
132,t_dagilimi,4,15,60,0.0,0.002,0.041,0.015,0.038,0.03933333333333333
133,t_dagilimi,4,15,60,0.2,0.033,0.16833333333333333,0.09533333333333334,0.16366666666666665,0.168
134,t_dagilimi,4,15,60,0.5,0.38466666666666666,0.7186666666666667,0.6313333333333333,0.7013333333333334,0.7083333333333334
135,kontamine,1,10,10,0.0,0.03966666666666667,0.03866666666666667,0.035666666666666666,0.042666666666666665,0.034666666666666665
136,kontamine,1,10,10,0.2,0.071,0.069,0.06766666666666667,0.07566666666666666,0.06333333333333334
137,kontamine,1,10,10,0.5,0.20833333333333334,0.20466666666666666,0.20233333333333334,0.217,0.18133333333333335
138,kontamine,1,30,30,0.0,0.04833333333333333,0.048,0.043333333333333335,0.049666666666666665,0.042333333333333334
139,kontamine,1,30,30,0.2,0.11766666666666667,0.11733333333333333,0.12533333333333332,0.11666666666666667,0.11133333333333334
140,kontamine,1,30,30,0.5,0.5163333333333333,0.5146666666666667,0.5553333333333333,0.514,0.5003333333333333
141,kontamine,1,100,100,0.0,0.042333333333333334,0.042333333333333334,0.044333333333333336,0.042333333333333334,0.04
142,kontamine,1,100,100,0.2,0.2946666666666667,0.2946666666666667,0.3413333333333333,0.293,0.2906666666666667
143,kontamine,1,100,100,0.5,0.941,0.941,0.97,0.9393333333333334,0.9356666666666666
144,kontamine,1,10,50,0.0,0.05,0.050666666666666665,0.048666666666666664,0.052333333333333336,0.047
145,kontamine,1,10,50,0.2,0.09633333333333334,0.09366666666666666,0.08966666666666667,0.09433333333333334,0.08633333333333333
146,kontamine,1,10,50,0.5,0.2946666666666667,0.2946666666666667,0.323,0.2996666666666667,0.26966666666666667
147,kontamine,1,15,60,0.0,0.044333333333333336,0.044333333333333336,0.043666666666666666,0.046,0.043
148,kontamine,1,15,60,0.2,0.106,0.1,0.106,0.10633333333333334,0.09533333333333334
149,kontamine,1,15,60,0.5,0.42033333333333334,0.4156666666666667,0.46166666666666667,0.4186666666666667,0.3943333333333333
150,kontamine,2,10,10,0.0,0.049666666666666665,0.04666666666666667,0.04633333333333333,0.053,0.04133333333333333
151,kontamine,2,10,10,0.2,0.07166666666666667,0.07,0.06233333333333333,0.077,0.063
152,kontamine,2,10,10,0.5,0.199,0.19066666666666668,0.184,0.20233333333333334,0.17033333333333334
153,kontamine,2,30,30,0.0,0.05,0.049,0.050666666666666665,0.051666666666666666,0.043666666666666666
154,kontamine,2,30,30,0.2,0.12566666666666668,0.12466666666666666,0.13833333333333334,0.12366666666666666,0.116
155,kontamine,2,30,30,0.5,0.5,0.49666666666666665,0.5286666666666666,0.5006666666666667,0.4876666666666667
156,kontamine,2,100,100,0.0,0.051666666666666666,0.051666666666666666,0.056,0.053,0.048666666666666664
157,kontamine,2,100,100,0.2,0.31033333333333335,0.31033333333333335,0.34833333333333333,0.30766666666666664,0.309
158,kontamine,2,100,100,0.5,0.9376666666666666,0.9373333333333334,0.9753333333333334,0.9373333333333334,0.9363333333333334
159,kontamine,2,10,50,0.0,0.020666666666666667,0.057666666666666665,0.030333333333333334,0.05266666666666667,0.057
160,kontamine,2,10,50,0.2,0.05333333333333334,0.12333333333333334,0.07966666666666666,0.121,0.11433333333333333
161,kontamine,2,10,50,0.5,0.2653333333333333,0.43766666666666665,0.368,0.43566666666666665,0.42233333333333334
162,kontamine,2,15,60,0.0,0.019,0.04733333333333333,0.028,0.04733333333333333,0.04533333333333334
163,kontamine,2,15,60,0.2,0.072,0.147,0.10833333333333334,0.14566666666666667,0.14066666666666666
164,kontamine,2,15,60,0.5,0.394,0.5636666666666666,0.52,0.5666666666666667,0.5466666666666666
165,kontamine,4,10,10,0.0,0.042333333333333334,0.037,0.044,0.04666666666666667,0.032
166,kontamine,4,10,10,0.2,0.07533333333333334,0.07166666666666667,0.078,0.082,0.06433333333333334
167,kontamine,4,10,10,0.5,0.21366666666666667,0.19966666666666666,0.201,0.22166666666666668,0.18566666666666667
168,kontamine,4,30,30,0.0,0.049,0.048666666666666664,0.057,0.052333333333333336,0.043333333333333335
169,kontamine,4,30,30,0.2,0.12833333333333333,0.12433333333333334,0.141,0.13166666666666665,0.11833333333333333
170,kontamine,4,30,30,0.5,0.5053333333333333,0.5,0.538,0.5123333333333333,0.489
171,kontamine,4,100,100,0.0,0.049,0.048,0.059666666666666666,0.04833333333333333,0.04766666666666667
172,kontamine,4,100,100,0.2,0.2876666666666667,0.286,0.3383333333333333,0.288,0.283
173,kontamine,4,100,100,0.5,0.934,0.9333333333333333,0.9666666666666667,0.9326666666666666,0.9316666666666666
174,kontamine,4,10,50,0.0,0.0036666666666666666,0.043,0.011666666666666667,0.037333333333333336,0.042666666666666665
175,kontamine,4,10,50,0.2,0.027333333333333334,0.15433333333333332,0.06233333333333333,0.13766666666666666,0.148
176,kontamine,4,10,50,0.5,0.23266666666666666,0.6023333333333334,0.426,0.581,0.5886666666666667
177,kontamine,4,15,60,0.0,0.005666666666666667,0.04633333333333333,0.017333333333333333,0.042333333333333334,0.043
178,kontamine,4,15,60,0.2,0.034666666666666665,0.173,0.089,0.16566666666666666,0.16933333333333334
179,kontamine,4,15,60,0.5,0.37033333333333335,0.7086666666666667,0.5976666666666667,0.701,0.6996666666666667
